,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
157,FBgn0033581,CG12391,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
158,FBgn0027565,CG5498,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
159,FBgn0033582,CG9084,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
160,FBgn0027567,Ciz1,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
161,FBgn0085384,CG34355,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
162,FBgn0033584,CG7737,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
163,FBgn0027569,cert,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
164,FBgn0085387,shakB,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
165,FBgn0000279,CecC,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
166,FBgn0038142,CheA87a,Complex-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
167,FBgn0027570,Nep2,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
168,FBgn0033593,Listericin,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
169,FBgn0027572,Acox1,Complex-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
170,FBgn0038145,Droj2,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
171,FBgn0000283,Cp190,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
172,FBgn0039485,Jhbp11,LinearDown-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
173,FBgn0085399,CG34370,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
174,FBgn0000299,Col4a1,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
175,FBgn0085405,CG34376,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
176,FBgn0033597,Cpr47Ea,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
177,FBgn0027578,Nepl21,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
178,FBgn0005533,RpS17,Complex-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
179,FBgn0085407,Pvf3,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
180,FBgn0000303,ChAT,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
181,FBgn0034970,yki,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
182,FBgn0000307,chif,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
183,FBgn0027583,CG7601,LinearDown-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
184,FBgn0033607,Uaf1,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
185,FBgn0034974,CG16786,Complex-14,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
186,FBgn0000308,chic,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
187,FBgn0027584,CG4757,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
188,FBgn0085420,DIP-δ,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
189,FBgn0034990,CG11406,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
190,FBgn0000316,cin,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
191,FBgn0027586,Jhbp14,LinearDown-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
192,FBgn0034997,Asm,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
193,FBgn0085422,CG34393,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
194,FBgn0038168,omd,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
195,FBgn0038170,CG14367,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
196,FBgn0000339,cni,LinearUp-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
197,FBgn0027600,obst-B,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
198,FBgn0033639,CG9003,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
199,FBgn0000346,comt,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
200,FBgn0027601,pdgy,Complex-7,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
201,FBgn0027603,Ulp1,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
202,FBgn0033652,ths,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
203,FBgn0033656,S2P,LinearUp-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
204,FBgn0085432,pan,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
